YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,4,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.69,10.4,27.52,11.9,20.42,3.35,108.44,4.48,110.56,96.51,0.18,61.44
1983,4,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.28,10.9,26.2,13.82,20.62,5.27,33.75,6.83,32.56,96.75,0.02,61.75
1983,4,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.01,8.97,30.1,10.92,21.83,3.29,100.62,4.8,101.94,96.68,0.0,55.81
1983,4,29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.38,10.93,27.55,13.9,21.61,3.05,126.56,4.34,127.06,96.97,0.02,58.0
1983,4,30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.44,11.05,25.38,15.89,20.22,3.44,66.0,4.75,65.94,96.81,0.81,56.5
1983,5,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.77,10.19,31.08,15.69,23.62,2.89,118.69,3.7,122.19,96.57,0.74,48.56
1983,5,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.76,8.94,22.76,14.51,19.21,3.05,138.0,3.9,183.62,97.14,0.24,58.06
1983,5,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.62,7.74,28.64,12.23,21.84,3.23,175.94,4.14,178.69,97.17,0.04,50.25
1983,5,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.44,7.05,31.0,13.16,23.53,3.91,213.44,5.38,215.75,97.13,0.0,40.81
1983,5,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.07,9.7,32.37,16.58,24.53,3.02,99.44,3.57,102.12,96.96,0.25,46.56
1983,5,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.48,11.62,30.12,13.85,24.0,3.06,94.62,3.65,92.0,96.97,1.58,56.69
1983,5,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.24,10.95,30.48,13.94,24.01,3.48,164.75,4.51,166.94,96.85,0.45,51.88
1983,5,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,24.35,11.4,31.9,17.4,24.76,3.4,262.56,5.0,263.69,96.44,0.02,47.38
1983,5,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.2,10.82,29.17,17.4,24.59,2.39,102.38,3.47,109.69,96.4,1.28,52.19
1983,5,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.66,10.57,26.01,13.16,21.48,2.71,169.94,3.65,173.69,96.37,0.44,58.62
1983,5,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.68,11.89,18.72,13.12,17.4,3.15,124.81,4.02,125.06,96.13,6.58,73.88
1983,5,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.3,10.03,27.95,12.1,22.86,2.07,256.94,3.2,261.0,96.62,0.08,57.88
1983,5,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.31,9.41,31.33,15.32,24.63,3.42,217.81,4.94,219.25,96.79,0.0,44.88
